Ball Number,Summary,Description
8.4,"Sundar to Gill,FOUR runs","Paddle/semi-pulled wide of short fine leg. It was length and just down leg, knee-roll height. Gill crouched and shovelled it around the corner with a short backlift and follow-through"
8.3,"Sundar to Gill,2 runs",Good short-arm pull across the line. Picked the length ball from middle and off and directed it in the gap at square leg
8.2,"Sundar to B Sai Sudharsan,1 run","Length around fifth, 103ks, clipped to midwicket"
8.1,"Sundar to Gill,1 run","Darted on the shorter side, fifth stump line, pulled hard but connection ain't perfect. Straight to deep midwicket"
7.6,"Markande to B Sai Sudharsan,no run","Dances down and punches the length ball to the bowler, who stops it in follow-through"
7.5,"Markande to B Sai Sudharsan,no run","Wide and fullish, Sudharsan opens up and has to reach out to slice it to backward point's left."
7.4,"Markande to Gill,1 run","Given air. Fullish on middle, clipped gently to forward square leg"
7.3,"Markande to B Sai Sudharsan,1 run","Fullish on the pads, nudged to square leg"
7.2,"Markande to Gill,1 run","Full on middle and off, nudged to long-on"
7.1,"Markande to Gill,2 runs","Full on off, stays legside of the ball and drives to the right of deep cover"
6.6,"Sundar to Gill,1 run","Fullish dart on leg, flicked to backward square leg"
6.5,"Sundar to Gill,2 runs","Fullish on leg, clipped to the diagonal-right of deep square leg. They push for two, fielder can't pick it up cleanly"
6.4,"Sundar to B Sai Sudharsan,1 run","Square drives the length ball outside off, to the offside sweeper"
6.3,"Sundar to Gill,1 run","Tight run to cover, throw is off. Ball was on a tad back of length and wide-ish, it spun back towards fifth. Gill cut it to cover, who ran in but wrung the ball into the ground"
6.2,"Sundar to Gill,no run","Length on off, punched to the left of catching midwicket"
6.1,"Sundar to B Sai Sudharsan,1 run","Length on off, punched to cover"
5.6,"Bhuvneshwar to B Sai Sudharsan,1 run","Length at the stumps, clipped to wide mid-off"
5.5,"Bhuvneshwar to B Sai Sudharsan,2 runs","Length on middle and off, 129ks, clipped to deep square leg"
5.4,"Bhuvneshwar to B Sai Sudharsan,FOUR runs","Not that bad a ball but he whips it through wicket nonchalantly. Length on middle and off in fact, Sudharsan didn't have to transfer weight and timed it perfectly"
5.3,"Bhuvneshwar to B Sai Sudharsan,no run","Shortish and slow, 122ks, Sudharsan charged and tried to pull it. Not middled, goes to midwicket"
5.2,"Bhuvneshwar to B Sai Sudharsan,no run","Length on off, punched off the back foot to cover"
5.1,"Bhuvneshwar to B Sai Sudharsan,no run","Length around off, 135ks, punched to mid-on"
4.6,"Shahbaz Ahmed to B Sai Sudharsan,1 run","Fullish on off, clipped to deep midwicket. 95ks"
4.5,"Shahbaz Ahmed to Gill,1 run","Full and at the body, worked to midwicket"
4.4,"Shahbaz Ahmed to Gill,SIX runs","Dances down and flays it over extra. It was wide, 96ks, on a length. Didn't matter to him as he had a rotational swipe"
4.3,"Shahbaz Ahmed to Gill,no run","Full on middle, pushed to mid-on"
4.2,"Shahbaz Ahmed to B Sai Sudharsan,1 run","Length on leg, clipped to deep midwicket"
4.1,"Shahbaz Ahmed to Saha,OUT","Change of ends works for Shahbaz. He went fuller side of length, 89ks, at the stumps. Saha lunged forward but had to reach too far forward as he tried to lift it over midwicket. Having to do it on the up didn't help. Ends up spooning it."
3.6,"Unadkat to Saha,1 run","Fullish on middle and leg, 112ks, whisked to midwicket"
3.5,"Unadkat to Saha,SIX runs","Full toss has been whipped over forward square leg.Free hit essentially. Knee-roll high, middle-stump line, Saha picked it up without having to move"
3.4,"Unadkat to Gill,1 run","Fullish on fourth, pushed to long-off"
3.3,"Unadkat to Saha,1 run",Slower one negates Saha's dance down the pitch. The into-the-pitch ball goes under the bat as he tried to pull. Actually took an underedge onto body before dribbling to the offside
3.2,"Unadkat to Gill,1 run","Slow on the fuller side of length, fourth stump, defended towards cover"
3.1,"Unadkat to Saha,1 run","Pitched up, angling away through fifth, driven to the left of long-off"
2.6,"Bhuvneshwar to Saha,1 run",Clips the length ball on the pads to deep fine leg
2.5,"Bhuvneshwar to Saha,FOUR runs","Dances down and lofts it over wide mid-off. Slower one, 119ks, picks up the length ball and forces it despite not getting all that close to the pitch. Bat-face turned but the power was enough to get it into the outfield"
2.4,"Bhuvneshwar to Gill,1 run","Fullish on fifth, guided with an angled bat, to the right of backward point"
2.3,"Bhuvneshwar to Gill,no run","Fullish on the pads, clipped to midwicket"
2.2,"Bhuvneshwar to Gill,no run","Check-bunt, pops up but goes to midwicket on the bounce. Back of length, 136ks, just outside off, Gill shaped to pull but pulled back due to the bit of spongy extra bounce"
2.1,"Bhuvneshwar to Saha,1 run","Length in the channel, pulled off the bottom-half of the bat, to the side of the diving midwicket fielder"
1.6,"Shahbaz Ahmed to Saha,1 run","Full outside off, driven to long-off"
1.5,"Shahbaz Ahmed to Gill,1 run","Length on middle, worked to midwicket"
1.4,"Shahbaz Ahmed to Saha,1 run","Uppish but wide to the right of the bowler. Went over head too, so it was too far of the leaping bowler. Length just outside off, Saha tried cuffing it with a flat bat, the face seemed to turn on impact"
1.3,"Shahbaz Ahmed to Saha,SIX runs","Walking whip over cow corner. Overpitched on the pads, 91ks, Saha took a step forward, lifted the back leg up and flicked it seamlessly"
1.2,"Shahbaz Ahmed to Gill,1 run","Length outside off, punched to long-off"
1.1,"Shahbaz Ahmed to Saha,1 run","Full on the pads, given air, clipped to midwicket"
0.6,"Bhuvneshwar to Gill,no run","Fullish on leg, tries to work it across to the leg side. Goes off the outer-half of the bat, into the pitch and back to the bowler"
0.5,"Bhuvneshwar to Gill,FOUR runs","Bhuvi pulls his length back and Gill short-arm slaps it through cover. He walked into the stroke, had a bit of width and crunched it with the cross-bat. Follow-through stopped halfway as he held the pose"
0.4,"Bhuvneshwar to Gill,no run","Length around sixth, goes back and pushes it to cover. Not much swing"
0.3,"Bhuvneshwar to Gill,no run","Stirred to backward point. Length on fifth, defended slightly away from the body"
0.2,"Bhuvneshwar to Gill,2 runs","Fullish in the channel, induces the thick outside edge. But Gill played it with low hands, so it went along the ground and to the left of deep-backward point"
0.1,"Bhuvneshwar to Saha,1 run","Guided past backward point, stopped at deep third. Was a length ball in the channel"
