Ball Number,Summary,Description
33.6,"Michael Bracewell to Shreyas Iyer,1 run","Shortish ball on fifth spins back, Shreyas is able to cut it nicely. Finds sweeper cover"
33.5,"Michael Bracewell to Axar Patel,1 run",Cuts the length ball outside off to deep point
33.4,"Michael Bracewell to Axar Patel,no run","Drives the full ball back to the bowler. Stopped in the follow-through, lots of revs on that"
33.3,"Michael Bracewell to Shreyas Iyer,1 run","Good single to the left of cover point. Tossed-up fullish ball at the stumps, Shreyas' body was lunging forward early but he took the power off the full-faced block. It opened up to allow the ball trickle off side"
33.2,"Michael Bracewell to Axar Patel,1 run","Fullish on fourth, driven through cover"
33.1,"Michael Bracewell to Shreyas Iyer,1 run","Length on middle, flicked to long leg. Aaron Finch, on air, says the pressure seems to be waning off India"
32.6,"Phillips to Shreyas Iyer,1 run","Fullish on fifth, 91ks, open-faced push takes it to backward point"
32.5,"Phillips to Shreyas Iyer,FOUR runs",Swatted just wide of square leg. Catchable height but well to the left of Chapman at square leg. He flung his body but the ball sped past him. Was a shortish ball that didn't rise much and Shreyas pulled it while crouching. Great hand speed. India 99 away now
32.4,"Phillips to Axar Patel,1 run","Length on fourth, pulled to wide long-on"
32.3,"Phillips to Shreyas Iyer,1 run","Loopy fullish ball outside off, stock ball. 86ks. Pushed through point"
32.2,"Phillips to Axar Patel,1 run",Goes back and drives the length ball to long-on
32.1,"Phillips to Shreyas Iyer,1 run","Fullish outside off, pushes it with an open bat-face to point"
31.6,"Michael Bracewell to Axar Patel,no run","Wide and slow on a fullish length, underedged cut goes to point"
31.5,"Michael Bracewell to Shreyas Iyer,1 run",Goes back and whips it to deep midwicket
31.4,"Michael Bracewell to Shreyas Iyer,2 runs","Two dots and Shreyas charges down to whip hm over midwicket. The bat-face turned inwards on impact but there was enough elevation to eliminate the risk of a wicket. Floated a touch, Shreyas got to the pitch and was in position, got it off the bottom of the bat"
31.3,"Michael Bracewell to Shreyas Iyer,no run","Length ball lands around off and spins down leg, glanced with the turn to short fine leg. 86ks"
31.2,"Michael Bracewell to Shreyas Iyer,no run","Fullish at the stumps, defended to cover"
31.1,"Michael Bracewell to Axar Patel,1 run","Fullish outside off, pushed to long-off"
30.6,"Phillips to Axar Patel,1 run","Wide on a length, slapped to long-off. Risk-free five runs off the over"
30.5,"Phillips to Axar Patel,no run","Full on middle, 87ks, flicked to midwicket"
30.4,"Phillips to Shreyas Iyer,1 run","Length on fifth, square driven off the back foot to deep point"
30.3,"Phillips to Axar Patel,1 run","Fullish on middle, looked quick off the pitch. 93ks. Axar tried to drive straight, inside edged it through square leg"
30.2,"Phillips to Shreyas Iyer,1 run","Full on off, 91ks, worked to long-on"
30.1,"Phillips to Axar Patel,1 run","Wide and fullish, slapped to long-off."
29.6,"Michael Bracewell to Axar Patel,1 run","Full on off, 82ks, driven to long-off"
29.5,"Michael Bracewell to Axar Patel,no run","Fullish on leg, defended to the bowler's left. 88ks."
29.4,"Michael Bracewell to Shreyas Iyer,1 run","Full down leg, 88ks, glanced to short fine leg"
29.3,"Michael Bracewell to Axar Patel,1 run","Goes back and punches it to long-on. Length on middle and off, Axar moved leg side and got the front leg in the air which made even more room"
29.2,"Michael Bracewell to Axar Patel,no run","Full on middle, defended to the bowler"
29.1,"Michael Bracewell to Axar Patel,no run",Single stopped with a dive to the right at mid-on.
28.6,"Phillips to Axar Patel,1 run","Phillips boling to Axar like Axar bowled to him earlier in the evening. 89ks, flat on leg stump, punched to long-on"
28.5,"Phillips to Axar Patel,no run","Length on fourth, driven from the crease to cover"
28.4,"Phillips to Shreyas Iyer,1 run",Shovel pulls a length ball down leg to deep fine leg. Might've been a touch late on it
28.3,"Phillips to Shreyas Iyer,no run","Length at the stumps, worked to midwicket. 90ks"
28.2,"Phillips to Shreyas Iyer,2 runs","Bad misfield at short third by O'Rourke, Run-out chance? Axar was three-fourth of the way down but the throw never comes. Young twisted his ankle as he turned which let Shreyas off the hook. Was a length ball outside off that Shreyas tried driving through cover."
28.1,"Phillips to Axar Patel,1 run","Full around off, worked to long-on"
27.6,"Michael Bracewell to Shreyas Iyer,no run","Full on fifth, 89ks, defended to point"
27.5,"Michael Bracewell to Shreyas Iyer,no run","Full on fifth, 90ks, punched to cover"
27.4,"Michael Bracewell to Shreyas Iyer,no run","Length down leg, flicked off the back foot with the spin"
27.3,"Michael Bracewell to Shreyas Iyer,SIX runs","Young tries to take a blinder, has to throw the ball back though. Has he stepped on the cushion though? Yes, replays show. He moved to the right, was facing right too and tried to take it above head. took it with both hands but one of the feet landed too quickly. Was a length ball to which Shreyas danced down and flicked with a full follow-through"
27.2,"Michael Bracewell to Shreyas Iyer,no run","Dances down, gets to the pitch and works it back to the bowler"
27.1,"Michael Bracewell to Shreyas Iyer,no run","Full on fifth, defended to point. 88ks."
26.6,"Ravindra to Axar Patel,no run",Goes back and punches the length ball on off to mid-off
26.5,"Ravindra to Axar Patel,no run",Shortish ball bounces extra and beats the cut and hits him on the thigh pad
26.4,"Ravindra to Axar Patel,no run","Full outside off, driven to cover"
26.3,"Ravindra to Axar Patel,no run","Full outside off, driven to cover"
26.2,"Ravindra to Axar Patel,no run","Sharp spin in, from a shortish length, punched off the back foot to midwicket"
26.1,"Ravindra to Rohit Sharma,OUT","The Squeeze. IS. ON! In fact, NZ have squeezed water out of stone. Rohit dances down and gets stumped! Huge moment, he waslks back with his head down for most of the way back. Applause from the crowd but NZ are well in the game now. First ball of the over, Rohit looked to manufacture a boundary. Was a shortish ball outside off that spun away, was a pre-meditated shot from Rohit. He charged down and tried to slap it over cover"
25.6,"Michael Bracewell to Shreyas Iyer,no run","Full on fourth, worked to the bowler's right"
25.5,"Michael Bracewell to Shreyas Iyer,no run","Full on fourth, 89ks, worked to midwicket"
25.4,"Michael Bracewell to Shreyas Iyer,no run","Full on fourth, defended to cover. 91ks"
25.3,"Michael Bracewell to Shreyas Iyer,no run",Driven off the back foot to mid-off
25.2,"Michael Bracewell to Shreyas Iyer,no run","Full at the stumps, worked back to the bowler"
25.1,"Michael Bracewell to Shreyas Iyer,no run","Taken? No, it doesn't carry back to the bowler. Bracewell reached and fell forward but got half-volleyed. Was a length ball that landed around off and spun in sharply. Shreyas was going square on seamlessly but realised midway into the shot that he didn't account for the turn or the slowness. Got a leading edge that lobbed, but luckily for him the lack of power worked for him in the end"
24.6,"Ravindra to Rohit Sharma,no run","Fullish length ball on the pads, clipped to midwicket"
24.5,"Ravindra to Rohit Sharma,no run","Full around fourth, defended to the bowler's left. 93ks"
24.4,"Ravindra to Rohit Sharma,no run","Ooh, Rohit was in trouble there. Lbw and caught midwicket were in play. He tried to sweep the full ball well in front of the body, was too early on it. The bottom hand might've come off but the ball went into the"
24.3,"Ravindra to Rohit Sharma,no run","Length on off, 95ks, Rohit slides his front leg to the leg side and drives to the bowler"
24.2,"Ravindra to Rohit Sharma,no run",Punched off the back foot to the bowler
24.1,"Ravindra to Shreyas Iyer,1 run",Goes back and punches it to long-off
23.6,"Michael Bracewell to Rohit Sharma,no run","Driven off the bottom of the bat, skewed wide to the left of the bowler. He leaps low but can't get hands on the hovering ball. It goes to mid-off"
23.5,"Michael Bracewell to Rohit Sharma,no run",Works it off the front foot to mid-on
23.4,"Michael Bracewell to Rohit Sharma,2 runs",Gentle lap sweep. Rohit got into position early and had to delay his shot a bit but got the full ball on the stumps real fine. Stopped in the deep
23.3,"Michael Bracewell to Rohit Sharma,no run","Length on leg, beats the flick and hits top of pad. Ball goes where short leg woulda been"
23.2,"Michael Bracewell to Shreyas Iyer,1 run","Length down leg, Shreyas is moving about in the crease a lot. He finishes square on and reaches down leg for the flick, gets it to deep square leg"
23.1,"Michael Bracewell to Rohit Sharma,1 run","Rohit dances down, turns the length ball into a full one and flicks it to long-on. 84ks"
22.6,"Ravindra to Shreyas Iyer,no run","Full on middle and leg, clipped through midwicket. 98ks"
22.5,"Ravindra to Shreyas Iyer,no run","Full on leg, worked back to the bowler"
22.4,"Ravindra to Shreyas Iyer,no run","Full on middle and leg, backs away and drives to cover"
22.3,"Ravindra to Rohit Sharma,1 run","Full on middle, 89ks, punched to long-off"
22.2,"Ravindra to Shreyas Iyer,1 run","Full outside off, 88ks, punched to sweeper cover"
22.1,"Ravindra to Shreyas Iyer,no run",Shreyas' weight is on the front foot and that yorks him. He manages to punch the ball back to the bowler
21.6,"Michael Bracewell to Rohit Sharma,no run","Fullish on off, flicked to the leg side."
21.5,"Michael Bracewell to Shreyas Iyer,1 run","Tight single to point's left. Shreyas the caller there, Rohit was a touch hesitant but charged through. Was a full ball around off that was defended"
21.4,"Michael Bracewell to Shreyas Iyer,no run","Fullish on off, Shreyas goes back and works it to the leg side"
21.3,"Michael Bracewell to Shreyas Iyer,no run","Full around off, worked back to the bowler"
21.2,"Michael Bracewell to Rohit Sharma,1 run","Another flick beaten, pad hit, but height might've been the issue here. Given runs, is it? Was a length ball that drifted away to land in line with fifth and finished around top of off after beating the inside edge"
21.1,"Michael Bracewell to Rohit Sharma,no run","Length on fourth, worked off the back foot to midwicket"
20.6,"Santner to Shreyas Iyer,no run","Full around off, defended to point, who's close in"
20.5,"Santner to Shreyas Iyer,no run","Darter this time by Santner, on a length and angled towards top of leg. Beats him on the flick"
20.4,"Santner to Shreyas Iyer,FOUR runs","Shreyas needs no sighters, the ball sat up off a length and he twirl-pulled way over midwicket. No one in the deep. Back foot was in the crease, the front foot slid back too"
20.3,"Santner to Rohit Sharma,1 run","Full on middle and leg, flicked to long-on. Pace very slow"
20.2,"Santner to Rohit Sharma,no run","Full on middle and leg, 81ks, defended to the bowler. More a round-arm ball"
20.1,"Santner to Rohit Sharma,no run","Length on fourth, punched while on the back foot to cover"
19.6,"Michael Bracewell to Shreyas Iyer,no run","Tossed up length ball turning into middle and leg, he ticks this to square leg"
19.5,"Michael Bracewell to Rohit Sharma,1 run","Floated just outside off, he eases to long-on"
19.4,"Michael Bracewell to Rohit Sharma,no run","Tossed up on off, worked to square leg"
19.3,"Michael Bracewell to Shreyas Iyer,1 run","On a length outside off, he eases to long-on"
19.2,"Michael Bracewell to Shreyas Iyer,no run","Slower good length ball on off, he works this to short midwicket"
19.1,"Michael Bracewell to Kohli,OUT","He's rapped on the pad first ball and the umpire is given it out.Oh, wow, that's a big decision. Will Kohli review?He has to, almost and he does.Tossed up outside off turning back into Kohli who misses the flick and is caught in front. That looks plumb on first viewing. What does the tracker say?Struck in line - yes. Going onto hit the stumps - Oh, yes!Bracewell is pumped up and NZ suddenly have an opening"
18.6,"Santner to Rohit Sharma,no run","Tossed up outside off, he shoulders arms"
18.5,"Santner to Kohli,1 run","Tossed up on middle and leg, he works this past square leg to get off the mark"
18.4,"Santner to Gill,OUT","Has anyone seen Superman and Phillips in the same room? I doubt it.He has just caught another blinder. And this one really is an absolute blinder. Floated outside off, he looks to go up and over GP at short extra cover. That was a boundary if anyone else was there. Not when GP is there. He leaps, flicks out his right hand and hangs on to a stunner. Flashes a big smile right after."
18.3,"Santner to Gill,no run","Tossed up on off, he drives firmly to GP at extra cover"
18.2,"Santner to Gill,no run","Hint of turn on middle, he prods half-forward and blocks"
18.1,"Santner to Gill,2 runs","Stifle short on off stump, he stays back and pulls to the right of deep backward square leg for a couple of runs"
17.6,"Ravindra to Rohit Sharma,no run","Tossed up outside off, he opens the face of the bat a touch and guides to point. That will be drinks with India cruising."
17.5,"Ravindra to Gill,1 run","Floated outside off, he charges down and slams this down the ground. O'Rourke hares across to his left and saves three"
17.4,"Ravindra to Gill,no run","Much quicker at 92kph on off stump, he bunts this to the left of Rachin who makes a sprawling dive and intercepts"
17.3,"Ravindra to Rohit Sharma,1 run",Gently floated on off stump at 85.5kph as Rohit pushes to long-off for a run
17.2,"Ravindra to Gill,1 run","Fired in on middle and leg, he works this behind square for a run"
17.1,"Ravindra to Gill,no run","Flatter length ball just outside off, he chops this down to point"
16.6,"Santner to Gill,1 run","Darts the length ball on the stumps, he gets across and punches back to the bowler, who misfields and concedes a run.The 100 is up as well for India in 17 overs."
16.5,"Santner to Rohit Sharma,1 run",Floated on leg stump rather just outside as Rohit gets outside the line and eases to long-on
16.4,"Santner to Rohit Sharma,no run",Arm ball at 91.6kph on off. Rohit brings his bat down in time and pushes back towards the bowler
16.3,"Santner to Rohit Sharma,no run","Angles the length ball around off stump, Rohit gets forward and defends"
16.2,"Santner to Gill,1 run","On the bounce to long-off. Was angled in on the stumps, he chips this to the fielder. Think he was in control, there"
16.1,"Santner to Gill,no run",Hint of turn away from Gill outside off. He pushes to cover with an angled bat
15.6,"Ravindra to Gill,1 run","Fuller on middle stump, he drives firmly to wide long-off"
15.5,"Ravindra to Rohit Sharma,1 run","Shortish in length again on leg stump, he hops back and pulls to deep square leg's left for a run"
15.4,"Ravindra to Gill,1 run","Dragged down outside off stump, he shovels this to deep square leg"
15.3,"Ravindra to Gill,no run","Angles the length ball on middle and leg, he clips this to short midwicket"
15.2,"Ravindra to Gill,no run","Pushed quicker on off stump, he defends back to the bowler"
15.1,"Ravindra to Rohit Sharma,1 run","Floated just around off stump, he flicks this aerially but wide of short midwicket for a run down to long-on"
14.6,"Santner to Gill,no run","Angled in on a length on leg stump, he works this to midwicket."
14.5,"Santner to Rohit Sharma,1 run","Flatter at 92kph outside off, he prods forward and drives to deep cover"
14.4,"Santner to Gill,1 run","Tossed up on off, he drives to long-off with ease"
14.3,"Santner to Rohit Sharma,1 run",Hangs this at 78kph on off as he slashes this past point for a run
14.2,"Santner to Rohit Sharma,FOUR runs",Marginally short but Rohit is so quick in picking lengths. Hops back in an instant and pulls in the gap between deep midwicket and long-on
14.1,"Santner to Rohit Sharma,no run","Fuller on middle stump, he digs this to extra cover"
13.6,"Ravindra to Gill,SIX runs","UP AND OVER!Charges down the track, gets under the ball and launches Ravindra over long-on. There was a fielder in place but Gill did not care. Made that look so easy there, did Gill"
13.5,"Ravindra to Rohit Sharma,1 run","Stifle short on middle and leg, he stays back and punches to long-on for a run"
13.4,"Ravindra to Rohit Sharma,no run","Angled in flatter on middle and leg, he defends to the on-side"
13.3,"Ravindra to Rohit Sharma,no run","Floated outside off stump, Rohit stays leg side of the ball and pushes to Rachin"
13.2,"Ravindra to Rohit Sharma,2 runs",Gives him a bit of width as he stays back and slashes this past point for a couple of runs
13.1,"Ravindra to Gill,1 run",Tossed up fuller on off at 87kph. Gill drives to long-off for a run
12.6,"Santner to Rohit Sharma,no run","Angles the length ball on middle, Rohit gets forward and defends"
12.5,"Santner to Gill,1 run","Tossed up on off stump, Gill drives handsomely past extra cover for a run"
12.4,"Santner to Gill,no run","Flatter on leg stump, he works this to midwicket"
12.3,"Santner to Rohit Sharma,1 run","Angles the length ball on leg stump, he works this behind square for a run"
12.2,"Santner to Gill,1 run","Shortens his length outside off, he stays back and pushes past point for a run"
12.1,"Santner to Gill,2 runs",Drops his length and gets punished. Was outside off as Gill hops back and pulls to the left of deep midwicket
11.6,"Ravindra to Rohit Sharma,no run",Was there an edge? Don't think so.Short and wide at 98kph outside off. He shapes up for the cut and gets beaten
11.5,"Ravindra to Rohit Sharma,FOUR runs","Edged, but he gets four.Tossed up outside off, turning away from Rohit, who drives on the up, gets a thick outside edge and with no slip there, it was always flying away"
11.4,"Ravindra to Rohit Sharma,no run",Arm ball that slides back into Rohit who just gets his bat down in time and defends towards cover
11.3,"Ravindra to Gill,1 run","Short and wide, he cuts this to deep point"
11.2,"Ravindra to Gill,no run","Floated outside off, he slices towards point"
11.1,"Ravindra to Rohit Sharma,1 run","Flatter and stifle short on middle stump, he pushes to long-on for a run"
10.6,"Santner to Gill,no run",Big turn for Santner.Hangs the length ball on off and gets it to turn away late past Gill's outside edge
10.5,"Santner to Gill,no run","Flatter at 87kph around off, he pushes to cover"
10.4,"Santner to Gill,no run","Pushed quicker at 90.1kph on off, he defends back towards the bowler"
10.3,"Santner to Gill,no run",Angles this slower on off stump as he strides forward and defends
10.2,"Santner to Gill,no run","Angled in fuller on off, he punches to the left of Santner who does well to his left"
10.1,"Santner to Rohit Sharma,1 run",That is a top half-century for Rohit. A captain's knock just when it was needed the most.Gets there off just 41 balls and it's made India's chase very easy. He reaches there by driving Santner to deep cover
9.6,"Ravindra to Rohit Sharma,1 run","Length on fourth, punched to long-off"
9.5,"Ravindra to Gill,1 run","Champan saves three at point. He was on the edge of the ring, moved to the left and dove to catch the ball after the passed him. Was a shortish ball outside off that was cut"
9.4,"Ravindra to Rohit Sharma,1 run","Full at the stumps, loopy, driven to long-off"
9.3,"Ravindra to Rohit Sharma,no run","Full on leg, 93ks, pushed back to the bowler"
9.2,"Ravindra to Gill,1 run","Quick single to midwiclet. Length on middle and leg, flicked off the back foot. 94ks"
9.1,"Ravindra to Gill,no run","A bit of turn away. 85ks, fullish length, landed around fourth and Gill drove it to cover. Ball hovered low and went to him on the bounce"
8.6,"Santner to Rohit Sharma,no run","Fullish on middle, defended back to the bowler. 92ks. Think Rohit could've danced down the pitch and pumped it over the bowler's head, but he's not taking chances against Santner"
8.5,"Santner to Rohit Sharma,no run","Full on off, defended to cover"
